epoch,lr,loss,val_loss,val_metric,para_metric
0.0,,0.97001131180532,0.8671389686094748,0.48027124589234305,0.4799024992215902
1.0,,0.8269292540206221,0.7679118772884747,0.5362818657740064,0.5165857138861036
2.0,,0.7789847273864823,0.7384638631666028,0.5521089891711128,0.5301544541408655
3.0,,0.7562604675550977,0.7262016085891037,0.5536253435258042,0.5333590134507503
4.0,,0.7506106136318199,0.7012335517384984,0.5751067067924708,0.5488928883431078
5.0,,0.7411842303190059,0.6876889397432139,0.5790299516025254,0.5516102760039223
6.0,,0.7345248269652556,0.6928717961182466,0.5783716847105087,0.5564314819142835
7.0,,0.7267682650285159,0.7143181835208927,0.5592312732674335,0.5447844063700508
8.0,,0.7237986801621431,0.6763166582262193,0.5876880480021933,0.5706468551217209
9.0,,0.7224601675608832,0.6852926695669019,0.5813505964987845,0.5662891877648006
10.0,,0.7158744613488833,0.6938376609269563,0.5780020067629639,0.5648364502995016
11.0,,0.7139075085490882,0.6756718410027994,0.5934502217071157,0.5680951448827045
12.0,,0.7086395058698788,0.6800613621333698,0.5857649644638183,0.5662008583970106
13.0,,0.7054485033652587,0.6712093590616106,0.5937686267666701,0.570803473046063
14.0,,0.7069770925508473,0.6833696079683733,0.5861716693960325,0.5622811310754607
15.0,,0.7028320261495624,0.6700360399108749,0.5915967967056932,0.5752987293764977
16.0,,0.6973079603635716,0.682057413109788,0.5837389155815116,0.5666778842558203
17.0,,0.6982194262898279,0.6690278987626772,0.5938208928439357,0.5716357242746092
18.0,,0.6881787728570506,0.6769513004534954,0.5902852434953141,0.5723696118140557
19.0,,0.6916294028023202,0.6704804158425546,0.591635043469304,0.5721012160347306
20.0,,0.6903105132684918,0.6689241059191592,0.5939656189160951,0.5752915714447073
21.0,,0.6864949556773077,0.6628197059975014,0.6007019412878947,0.5808412989871397
22.0,,0.6843702683229007,0.6654519256170806,0.5972026150140404,0.5734043777930946
23.0,,0.6820709144543551,0.6727088756389447,0.5902867780979919,0.5810008139889759
24.0,,0.6804587695307148,0.6671674315993851,0.5940255409329704,0.5827777673147081
25.0,,0.673581677293013,0.6684746919451533,0.5931078048585418,0.5806121742973434
26.0,,0.6775172785193265,0.6635093842540776,0.5984529355798066,0.5810772886847385
27.0,,0.6732403588199425,0.6589180020598678,0.6007157484069947,0.5879788480041831
28.0,,0.669277440211577,0.663161927944905,0.5987422619844266,0.5792949603212756
