epoch,lr,loss,iou,val_loss,val_iou
0.0,0.0003,0.9588753749962748,0.300152578762527,0.8359020860345514,0.31050190880173967
1.0,0.0003,0.7887560231375781,0.3490778925784614,0.7388484616537352,0.3701704969931091
2.0,0.0003,0.7317273536098563,0.3664351094564135,0.8434302525477366,0.298476059568995
3.0,0.0003,0.7104466426243421,0.37846514759505845,0.6863938013712565,0.39398813149020623
4.0,0.0003,0.6981526761709137,0.3854905813234289,0.6738335925179559,0.4027376840883197
5.0,0.0003,0.6878712480141368,0.39326079184282636,0.820844710517574,0.3239097289802359
6.0,0.0003,0.6782123621297658,0.3981429514958598,0.6698803353954006,0.40385236893528814
7.0,0.0003,0.6718701370033546,0.4023343858393427,0.7222601753097396,0.37407299229827806
8.0,0.0003,0.6635662584636186,0.4079795406028825,0.6527300372854009,0.41974502133758823
9.0,0.0003,0.6583754922185994,0.4119503920251001,0.6699110821560696,0.40419902395401885
10.0,0.0003,0.6488566267899227,0.4193079846238313,0.7145982829300133,0.37779361368973285
11.0,0.0003,0.6460900607414625,0.42035354150522414,0.6560112390432272,0.41485732988777785
12.0,0.0003,0.6352348738629034,0.4288053021142973,0.6605760535678348,0.4120687465266427
13.0,0.0003,0.6273595004843461,0.43475100977552267,0.7074184931076325,0.3802281867236882
14.0,0.0003,0.6204787226467787,0.4397353460497013,0.6882923895174319,0.3949571659068891
15.0,0.0003,0.6077329075831368,0.4493690039229638,0.6673546234766642,0.40669776889689807
16.0,0.0003,0.596700963829829,0.4579957734281819,0.7376655449738374,0.3636716985613644
17.0,0.0003,0.5866725083292607,0.4657010402859415,0.9038941248043163,0.29920322410367983
18.0,0.0003,0.5685170670493845,0.4795098797050446,0.6708863667539648,0.40898104869049967
19.0,0.0003,0.5505199453353021,0.4926339970946291,0.7230369169432838,0.3805738805594739
20.0,0.0003,0.528031567104887,0.5104057977834315,0.6935617662227905,0.390784695356012
21.0,0.0003,0.5067106696780408,0.526438807474135,0.7574822365700662,0.35292504880371334
22.0,0.0003,0.48989108586784735,0.538669620437642,0.7260899917499439,0.38071110634812405
23.0,0.0003,0.46805319394445594,0.556766864195823,0.7044740789645427,0.38873921181084437
24.0,0.0003,0.4434218080142775,0.5771402554373479,0.9043288977296503,0.28905941857462214
25.0,0.0003,0.4278067489178172,0.5888614770354412,0.7695848889179058,0.3658271042209305
26.0,0.0003,0.39999219783269113,0.6116240562342632,0.7374153375625611,0.3784515396819522
27.0,0.0003,0.3834230618463957,0.6266907759651053,0.8442234490368817,0.3313692775457818
28.0,0.0003,0.3666291714306342,0.6415708259334252,0.8224546346578512,0.33518051326013587
